created_at,tweet_id,tweet,likes,retweet_count,source,user_id,user_name,user_screen_name,user_description,user_join_date,user_followers_count,user_location,lat,long,city,country,continent,state,state_code,collected_at
10/15/2020 0:00,1.32E+18,"#Elecciones2020 | En #Florida: #JoeBiden dice que #DonaldTrump solo se preocupa por ï¿½ï¿½l mismo. El demï¿½ï¿½crata fue anfitriï¿½ï¿½n de encuentros de electores en #PembrokePines y #Miramar. Clic AQUï¿½ï¿½ ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½
ï¿½ï¿½ï¿½
ï¿½ï¿½ï¿½ï¿½https://t.co/q",0,0,TweetDeck,360666534,El Sol Latino News,elsollatinonews,"ýýýý Noticias de interýýs para latinos de la costa este de #EEUU
ýýýýýýýýý Facebook e Instagram
ýýýýýýýýýý Philadelphia: /elsollatinonewspaper
ýýýýýýý Miami: /elsollatinonewsmiami",8/23/2011 15:33,1860,"Philadelphia, PA / Miami, FL",25.77427,-80.19366,,United States of America,North America,Florida,FL,10/21/2020 0:00
10/15/2020 0:00,1.32E+18,#HunterBiden #HunterBidenEmails #JoeBiden #JoeBidenMustStepDown https://t.co/9enmxWvePm,0,0,Twitter for iPad,809904438,Cheri A. ï¿½ï¿½ï¿,Biloximeemaw,"Locked and loaded Meemaw. Love God, my family and my country. I will fight til my last breath for my children and grand children's freedoms. Trump2020",9/8/2012 1:03,6628,,,,,,,,,00:00.5
10/15/2020 0:00,1.32E+18,"@IslandGirlPRV @BradBeauregardJ @MeidasTouch This is how #Biden made his ! #TrumpIsNotAmerica !
https://t.co/uBqAFU86Ip",0,0,Twitter Web App,3494182277,Flag Waver,Flag_Wavers,,8/30/2015 19:38,1536,Golden Valley Arizona,46.3040364,-109.1714312,,United States of America,North America,Montana,MT,00:01.0
10/15/2020 0:00,1.32E+18,@chrislongview Watching and setting dvr. Letï¿½ï¿½ï¿½s give him bonus ratings!! #Jo,0,0,Twitter for iPhone,8.24E+17,Michelle Ferg,MichelleFerg4,,1/25/2017 14:16,27,,,,,,,,,00:01.6
10/15/2020 0:00,1.32E+18,#censorship #HunterBiden #Biden #BidenEmails #BidenEmail #Corruption https://t.co/C6clrtshQl,1,0,Twitter Web App,1.03E+18,the Gold State,theegoldstate,"A Silicon Valley #independent #News #Media #Startup
 *If you have any tips you'd like us to cover, please DM or tag us*",8/24/2018 1:49,390,"California, USA",36.7014631,-118.7559974,,United States of America,North America,California,CA,00:02.1
10/15/2020 0:00,1.32E+18,"""IS THIS WRONG??!!"" Cory Booker's BRILLIANT Final Questioning of Trump Nominee Amy Coney Barrett https://t.co/gCTvVLl4CS
#AmyConeyBarrett #CoryBooker #Barrett #Booker #Trump #KamalaHarris #JoeBiden #SCOTUS #SupremeCourtConfirmation",0,0,Twitter Web App,305727891,Dose of Dissonance,Dose_Dissonance,YOUTUBE CHANNEL: https://t.co/EFnKm5gnvV MERCHANDISE: https://t.co/FGCY7YPDGk,5/26/2011 18:09,4622,,,,,,,,,00:02.6
10/15/2020 0:00,1.32E+18,"In 2020, #NYPost is being #censorship #CENSORED by Twitter to manipulate a US election in favor of #JoeBiden and against #Trump.

but CCP from #China or porn on Twitter? 

Thatï¿½ï¿½ï¿½s always been fine for @jack @vijaya @dickc @KatieS.

@marciadorsey is @jack",0,0,Twitter for iPhone,19940334,Change Illinois | Biden will increase taxes by $4T,changeillinois,"Illinois, home of Lincoln and Reagan, used to be crossroads of America. Now, it's epicenter of political mafia, corruption and #ChicagoWay. #ChangeIllinois",2/2/2009 23:08,1397,"Chicago, Illinois",41.8755616,-87.6244212,Chicago,United States of America,North America,Illinois,IL,00:03.1
10/15/2020 0:00,1.32E+18,ýýýýýý Tell Politicians to STICK IT with this FREE Item! ýýýýýý https://t.co/sua2FPNJTS ýýýýýý #2020 #Biden #Deomocrat #Election #Politician #Politics #President #Republican #Trump #VPDebate ýýýýýý @FreebieDepot https://t.co/QTRW3eMtd0,0,0,Freebie-Depot,103083214,ýýýý Freebie Depot,FreebieDepot,"Free Stuff - No Fluff!  Get all kinds of FREE Stuff, FREE Samples, FREE Calendars, FREE Coupons, FREE, FREE, FREE! #freebies #freestuff #free #frugal #samples",1/8/2010 20:44,6402,USA - Land of the FREE!,,,,,,,,00:03.6
10/15/2020 0:00,1.32E+18,#Biden https://t.co/qMs0PmUev5,0,0,Twitter Web App,1.27E+18,Kenneth,Kennethuteliv,,6/15/2020 16:35,103,,,,,,,,,00:04.1
10/15/2020 0:00,1.32E+18,"Proof  Bidens are crooked. Twitter will suspend me for sharing https://t.co/LUbPCbROEp
#Biden
#crookedBiden
#ukraniancollusion 
#Democrats
#HunterBidenEmails",1,1,Twitter for Android,1.28E+18,Jake Rivendale,JakeRivendale,,6/24/2020 5:15,80,,,,,,,,,00:04.7
